ID,AGE,GENDER,DRIVING_EXPERIENCE,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME,Vehicle t ype,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,,,air bag
775336,16-25,male,0-9y,poverty,0.315534558,0,before 2015,0,0,10238,12000,0,0,0,1,Station Wagon/Sport Utility Vehicle,40.827343,-73.94279,"(40.827343, -73.94279)",SAINT NICHOLAS AVENUE,,,0,0,0,0,0,0,0,0,Other Vehicular,,,1
147805,26-39,male,0-9y,poverty,0.26727187,0,before 2015,0,1,10238,8000,0,0,0,1,Sedan,,,,,,1920      SCHIEFELIN AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,1
912569,65+,female,30y+,upper class,0.509802839,1,before 2015,1,1,32765,11000,2,0,1,0,Ambulance,40.77761,-73.74365,"(40.77761, -73.74365)",LITTLE NECK PARKWAY,GRAND CENTRAL PARKWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,1
627852,65+,male,10-19y,upper class,0.58367167,1,after 2015,1,1,10238,13000,2,0,2,0,Sedan,40.660217,-73.89675,"(40.660217, -73.89675)",NEW LOTS AVENUE,WILLIAMS AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,,,1
892650,65+,male,10-19y,working class,0.222280527,0,after 2015,0,1,10238,16000,1,0,0,0,Station Wagon/Sport Utility Vehicle,40.671898,-73.92231,"(40.671898, -73.92231)",RALPH AVENUE,PARK PLACE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,,,1
381711,26-39,female,0-9y,upper class,0.51850657,1,after 2015,0,0,32765,12000,0,0,0,0,Station Wagon/Sport Utility Vehicle,,,,STATEN ISLAND EXPRESSWAY,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,,,1
854406,40-64,male,20-29y,upper class,0.708576851,1,after 2015,0,1,10238,12000,3,0,6,0,Sedan,40.712063,-74.01016,"(40.712063, -74.01016)",CHURCH STREET,VESEY STREET,,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,,,1
92951,16-25,male,0-9y,poverty,,0,before 2015,0,1,10238,16000,0,0,0,1,Sedan,40.83611,-73.92238,"(40.83611, -73.92238)",JEROME AVENUE,EAST 167 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,,,1
219625,65+,male,20-29y,upper class,0.480756645,1,before 2015,1,1,10238,10000,4,0,3,0,Sedan,40.893665,-73.86063,"(40.893665, -73.86063)",EAST 232 STREET,CARPENTER AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,1
321057,40-64,male,20-29y,upper class,0.572038975,1,before 2015,1,1,32765,7000,13,0,1,0,,40.696983,-73.935234,"(40.696983, -73.935234)",MYRTLE AVENUE,BROADWAY,,1,0,0,0,1,0,0,0,Passing Too Closely,,,1
27809,26-39,male,10-19y,upper class,0.701106422,1,before 2015,0,0,10238,16000,0,0,2,1,Station Wagon/Sport Utility Vehicle,40.668648,-73.92835,"(40.668648, -73.92835)",EASTERN PARKWAY,ROCHESTER AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,1
937771,26-39,male,10-19y,upper class,0.541158338,1,after 2015,0,1,10238,10000,1,0,2,0,Station Wagon/Sport Utility Vehicle,40.756287,-73.860725,"(40.756287, -73.860725)",34 AVENUE,108 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,1
242782,65+,male,0-9y,upper class,0.686206212,1,after 2015,1,1,10238,7000,0,0,0,0,Sedan,40.67546,-73.73385,"(40.67546, -73.73385)",133 AVENUE,LAURELTON PARKWAY,,0,0,0,0,0,0,0,0,Unsafe Speed,,,1
547164,40-64,female,20-29y,upper class,0.49455464,1,after 2015,0,0,32765,13000,2,1,0,0,Station Wagon/Sport Utility Vehicle,40.766815,-73.9386,"(40.766815, -73.9386)",33 ROAD,VERNON BOULEVARD,,2,0,0,0,0,0,2,0,Unspecified,,,1
695059,40-64,male,10-19y,upper class,0.383588525,1,before 2015,0,1,32765,6000,7,1,1,0,Station Wagon/Sport Utility Vehicle,40.61242,-74.09936,"(40.61242, -74.09936)",CLOVE ROAD,,,0,0,0,0,0,0,0,0,Unspecified,,,1
832759,16-25,female,0-9y,poverty,0.316903716,0,before 2015,0,1,10238,15000,0,0,0,1,Sedan,40.56843,-74.14132,"(40.56843, -74.14132)",CLARKE AVENUE,MCKINLEY AVENUE,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,,,1
71485,16-25,female,0-9y,poverty,0.446115107,0,before 2015,1,0,10238,9000,0,0,0,0,Station Wagon/Sport Utility Vehicle,40.749607,-73.89687,"(40.749607, -73.89687)",BROOKLYN QUEENS EXPRESSWAY,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,,,1
124660,16-25,female,0-9y,working class,0.425519454,0,before 2015,0,1,10238,14000,0,0,0,1,Sedan,40.702785,-73.85705,"(40.702785, -73.85705)",MYRTLE AVENUE,88 LANE,,1,0,0,0,1,0,0,0,Unsafe Speed,,,1
207087,65+,female,10-19y,upper class,0.637563782,1,before 2015,1,1,10238,,0,0,0,0,Station Wagon/Sport Utility Vehicle,40.657894,-73.92082,"(40.657894, -73.92082)",,,9327      KINGS HIGHWAY,0,0,0,0,0,0,0,0,Unspecified,,,1
315430,40-64,female,0-9y,working class,0.470570718,1,before 2015,0,1,10238,12000,0,0,0,0,Sedan,40.621838,-73.985374,"(40.621838, -73.985374)",,,1863      59 STREET,0,0,0,0,0,0,0,0,Unspecified,,,1
40864,40-64,male,0-9y,upper class,0.53560414,1,before 2015,1,0,32765,8000,0,0,0,1,Sedan,40.709118,-73.79784,"(40.709118, -73.79784)",,,164-30    HILLSIDE AVENUE,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,,,1
41497,16-25,female,0-9y,working class,0.543260116,0,before 2015,0,1,10238,10000,0,0,0,1,Station Wagon/Sport Utility Vehicle,40.81738,-73.9257,"(40.81738, -73.9257)",,,2824      PARK AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,1
377739,65+,male,20-29y,upper class,0.701710321,1,before 2015,1,1,32765,8000,9,1,3,0,Sedan,40.63226,-73.90088,"(40.63226, -73.90088)",EAST 87 STREET,AVENUE M,,1,0,0,0,0,0,1,0,Unspecified,,,1
236599,26-39,male,10-19y,middle class,0.589700979,1,before 2015,1,1,10238,10000,0,0,3,0,Sedan,40.614666,-74.0133,"(40.614666, -74.0133)",85 STREET,13 AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,,,1
839497,26-39,male,0-9y,poverty,0.488478707,1,before 2015,0,0,10238,14000,0,0,0,1,Station Wagon/Sport Utility Vehicle,40.697575,-73.984055,"(40.697575, -73.984055)",DUFFIELD STREET,,,0,0,0,0,0,0,0,0,Unspecified,,,1
863474,40-64,male,10-19y,upper class,0.713373976,0,before 2015,0,0,10238,10000,4,0,1,0,Taxi,,,,UNIVERSITY HEIGHTS BRIDGE,,,0,0,0,0,0,0,0,0,Unspecified,,,1
826015,65+,male,0-9y,upper class,0.69821025,1,after 2015,1,1,10238,14000,0,0,0,0,Station Wagon/Sport Utility Vehicle,40.80739,-73.9467,"(40.80739, -73.9467)",,,114       WEST 124 STREET,0,0,0,0,0,0,0,0,Unspecified,,,1
403691,26-39,female,10-19y,middle class,0.474478787,1,before 2015,1,1,10238,15000,1,0,0,0,Station Wagon/Sport Utility Vehicle,40.65333,-73.89001,"(40.65333, -73.89001)",,,960       ALABAMA AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,1
806638,26-39,female,10-19y,middle class,0.592188787,1,after 2015,0,0,10238,15000,0,0,0,0,Sedan,40.78775,-73.947464,"(40.78775, -73.947464)",3 AVENUE,,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,1
953868,65+,female,30y+,upper class,0.731143594,1,before 2015,1,0,10238,10000,4,1,3,0,Sedan,40.709053,-73.96711,"(40.709053, -73.96711)",WYTHE AVENUE,SOUTH 9 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,1
374528,65+,male,10-19y,upper class,,1,before 2015,1,1,10238,10000,0,1,1,0,Sedan,40.788578,-73.939705,"(40.788578, -73.939705)",,,430       EAST 105 STREET,0,0,0,0,0,0,0,0,Backing Unsafely,,,1
513085,26-39,male,0-9y,middle class,0.486570275,1,before 2015,0,1,10238,12000,0,0,0,1,Station Wagon/Sport Utility Vehicle,40.816433,-73.919106,"(40.816433, -73.919106)",,,358       EAST 149 STREET,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,,,1
23638,40-64,female,10-19y,working class,,1,before 2015,1,1,21217,14000,0,0,2,1,Station Wagon/Sport Utility Vehicle,40.676094,-73.904366,"(40.676094, -73.904366)",ATLANTIC AVENUE,HAVENS PLACE,,0,0,0,0,0,0,0,0,Unspecified,,,1
342282,16-25,male,0-9y,working class,0.471124316,0,before 2015,0,1,10238,,0,0,0,1,Sedan,40.8385,-73.90509,"(40.8385, -73.90509)",,,1504      BROOK AVENUE,0,0,0,0,0,0,0,0,Passing Too Closely,,,1
685698,26-39,female,10-19y,upper class,,1,after 2015,1,0,32765,7000,6,0,1,1,Van,40.73715,-73.98859,"(40.73715, -73.98859)",PARK AVENUE SOUTH,EAST 18 STREET,,1,0,0,0,1,0,0,0,Pavement Defective,,,1
311662,16-25,male,0-9y,poverty,0.273095992,0,before 2015,0,1,10238,14000,0,0,0,1,Sedan,40.8047,-73.91243,"(40.8047, -73.91243)",EAST 138 STREET,BRUCKNER BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,1
61471,16-25,female,0-9y,working class,0.390777464,1,before 2015,0,1,10238,10000,0,0,0,1,Sedan,40.681656,-73.76238,"(40.681656, -73.76238)",SIDWAY PLACE,,,0,0,0,0,0,0,0,0,Backing Unsafely,,,1
10486,40-64,male,20-29y,upper class,0.573158584,0,after 2015,1,1,32765,9000,9,0,3,0,Sedan,,,,THROGS NECK BRIDGE,,,2,0,0,0,0,0,2,0,Brakes Defective,,,1
674205,16-25,female,0-9y,working class,0.420901363,0,after 2015,0,1,32765,8000,0,0,0,0,Sedan,40.84487,-73.92068,"(40.84487, -73.92068)",CROSS BRONX EXPY,,,0,0,0,0,0,0,0,0,Unsafe Speed,,,1
631816,26-39,female,10-19y,middle class,0.670657663,1,after 2015,1,1,32765,10000,2,0,2,0,Sedan,40.787506,-73.9383,"(40.787506, -73.9383)",FDR DRIVE,,,1,0,0,0,0,0,1,0,Following Too Closely,,,1
902936,65+,female,10-19y,upper class,0.767258584,1,after 2015,1,1,10238,12000,0,0,0,0,Bike,40.674225,-73.79986,"(40.674225, -73.79986)",141 STREET,ROCKAWAY BOULEVARD,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,1
905027,65+,male,10-19y,middle class,0.456411986,1,before 2015,1,0,10238,12000,0,1,2,0,Station Wagon/Sport Utility Vehicle,40.6865,-73.98787,"(40.6865, -73.98787)",DEAN STREET,HOYT STREET,,1,0,0,0,1,0,0,0,Unsafe Speed,,,1
833749,65+,male,30y+,upper class,0.610013083,1,after 2015,0,1,10238,14000,4,1,2,0,Station Wagon/Sport Utility Vehicle,40.83483,-73.85946,"(40.83483, -73.85946)",,,1949      MCGRAW AVENUE,0,0,0,0,0,0,0,0,Passing Too Closely,,,1
544845,40-64,male,0-9y,upper class,0.475655806,0,before 2015,0,1,32765,,0,0,0,1,Bus,40.610912,-74.16142,"(40.610912, -74.16142)",,,40        JARDINE AVENUE,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,,,1
311880,16-25,male,0-9y,poverty,0.33579697,0,before 2015,0,0,32765,,0,0,0,1,Sedan,40.679485,-73.897026,"(40.679485, -73.897026)",JACKIE ROBINSON PKWY,,,0,0,0,0,0,0,0,0,Unspecified,,,1
135577,26-39,male,10-19y,middle class,0.52661382,1,after 2015,0,0,32765,13000,2,1,1,0,Ambulance,40.773365,-73.9068,"(40.773365, -73.9068)",DITMARS BOULEVARD,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,1
726987,65+,male,30y+,upper class,0.613362827,1,after 2015,1,1,10238,11000,5,1,3,0,Station Wagon/Sport Utility Vehicle,40.624947,-73.97712,"(40.624947, -73.97712)",20 AVENUE,DAHILL ROAD,,0,0,0,0,0,0,0,0,Unspecified,,,1
872748,26-39,male,0-9y,upper class,0.508545698,1,after 2015,1,1,10238,10000,0,0,0,1,Station Wagon/Sport Utility Vehicle,40.575336,-73.996445,"(40.575336, -73.996445)",MERMAID AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,1
756603,26-39,female,10-19y,poverty,0.383780946,0,before 2015,0,1,10238,16000,0,0,0,1,Sedan,40.679737,-73.76162,"(40.679737, -73.76162)",FARMERS BOULEVARD,,,1,0,0,0,0,0,1,0,Unspecified,,,1
740156,16-25,female,0-9y,working class,0.463909332,1,after 2015,0,0,32765,,0,0,0,0,Sedan,40.689102,-73.94507,"(40.689102, -73.94507)",TOMPKINS AVENUE,,,1,0,0,0,0,0,1,0,Driver Inexperience,,,1
99647,16-25,female,0-9y,poverty,0.318317145,0,before 2015,0,0,10238,15000,0,0,0,0,Sedan,40.81843,-73.887535,"(40.81843, -73.887535)",,,861       FAILE STREET,0,0,0,0,0,0,0,0,Unspecified,,,1
848222,40-64,male,20-29y,upper class,0.624742072,1,before 2015,1,1,10238,11000,5,0,5,0,Station Wagon/Sport Utility Vehicle,40.72773,-73.90674,"(40.72773, -73.90674)",MAURICE AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,1
507419,26-39,female,0-9y,upper class,0.408976341,1,after 2015,0,0,10238,13000,0,0,0,0,Flat Bed,40.743275,-73.77572,"(40.743275, -73.77572)",LONG ISLAND EXPRESSWAY,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,,,1
823526,65+,male,30y+,middle class,0.477962613,1,before 2015,1,1,10238,10000,7,0,5,0,Sedan,40.723835,-73.90634,"(40.723835, -73.90634)",56 DRIVE,60 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,,,1
841430,40-64,female,20-29y,middle class,0.511350065,0,before 2015,1,1,10238,11000,1,0,2,0,Sedan,40.5643,-74.103485,"(40.5643, -74.103485)",,,91        FINLEY AVENUE,0,0,0,0,0,0,0,0,Passing Too Closely,,,1
960933,65+,female,30y+,upper class,0.780209859,1,after 2015,1,1,32765,9000,6,1,3,0,Taxi,40.845226,-73.88079,"(40.845226, -73.88079)",,,924       EAST 181 STREET,0,0,0,0,0,0,0,0,Passing Too Closely,,,1
376004,16-25,female,0-9y,working class,,1,before 2015,0,1,10238,9000,0,0,0,0,Station Wagon/Sport Utility Vehicle,40.669,-73.8048,"(40.669, -73.8048)",133 AVENUE,134 STREET,,0,0,0,0,0,0,0,0,Passing Too Closely,,,1
551195,65+,male,30y+,upper class,0.701292794,1,before 2015,0,0,10238,15000,3,0,2,0,Station Wagon/Sport Utility Vehicle,40.655834,-73.98123,"(40.655834, -73.98123)",19 STREET,10 AVENUE,,1,0,0,0,0,0,1,0,Passing Too Closely,,,1
18890,40-64,female,10-19y,upper class,0.714968019,1,before 2015,0,1,10238,15000,0,0,1,0,Bus,40.736145,-73.92651,"(40.736145, -73.92651)",LONG ISLAND EXPRESSWAY,,,1,0,0,0,0,0,1,0,Other Vehicular,,,1
259179,40-64,female,20-29y,upper class,0.608518437,1,before 2015,1,1,10238,8000,3,0,1,0,Station Wagon/Sport Utility Vehicle,40.700855,-73.86837,"(40.700855, -73.86837)",JACKIE ROBINSON PKWY,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,1
5306,26-39,male,0-9y,middle class,0.495059754,0,before 2015,1,1,10238,,0,0,0,1,Sedan,40.772865,-73.98955,"(40.772865, -73.98955)",WEST END AVENUE,WEST 61 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,1
768784,65+,female,30y+,upper class,0.675197154,1,before 2015,0,1,10238,10000,2,0,2,0,Sedan,40.59287,-73.99607,"(40.59287, -73.99607)",,,1752      SHORE PARKWAY,0,0,0,0,0,0,0,0,Unspecified,,,1
184971,40-64,male,10-19y,upper class,0.705103011,1,before 2015,0,0,10238,12000,0,0,2,0,Station Wagon/Sport Utility Vehicle,40.676117,-73.74046,"(40.676117, -73.74046)",MERRICK BOULEVARD,230 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,,,1
17816,26-39,female,10-19y,middle class,0.476614269,1,before 2015,0,1,10238,,0,0,1,0,Sedan,40.710777,-73.86502,"(40.710777, -73.86502)",COOPER AVENUE,88 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,1
475210,16-25,male,0-9y,poverty,0.319027963,0,before 2015,0,1,10238,,0,0,0,1,Bus,40.8464,-73.84341,"(40.8464, -73.84341)",,,1552      WATERS PLACE,0,0,0,0,0,0,0,0,Turning Improperly,,,1
741721,16-25,female,0-9y,working class,0.328418073,1,after 2015,0,1,10238,12000,0,0,0,0,Sedan,40.8733,-73.853645,"(40.8733, -73.853645)",BOSTON ROAD,EAST GUN HILL ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,1
184176,26-39,female,10-19y,poverty,0.344977689,0,before 2015,0,0,10238,18000,1,0,1,0,Sedan,40.79486,-73.94649,"(40.79486, -73.94649)",PARK AVENUE,,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,,,1
118620,26-39,male,10-19y,upper class,,1,before 2015,1,1,32765,9000,3,0,0,1,Sedan,40.58096,-73.96466,"(40.58096, -73.96466)",NEPTUNE AVENUE,,,0,0,0,0,0,0,0,0,Tire Failure/Inadequate,,,1
551808,16-25,female,0-9y,middle class,,1,before 2015,0,0,10238,16000,0,0,0,0,Taxi,40.739582,-73.87372,"(40.739582, -73.87372)",,,90-09     51 AVENUE,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,,,1
679272,26-39,male,0-9y,working class,0.374393606,0,before 2015,0,0,32765,11000,0,0,0,1,Station Wagon/Sport Utility Vehicle,40.762802,-73.965675,"(40.762802, -73.965675)",3 AVENUE,,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,,,1
401740,40-64,male,0-9y,upper class,0.691715358,1,before 2015,1,1,10238,13000,0,0,0,0,Sedan,40.81637,-73.9403,"(40.81637, -73.9403)",,,120       WEST 138 STREET,0,0,0,0,0,0,0,0,Unspecified,,,1
9289,16-25,female,0-9y,upper class,0.633817535,1,before 2015,1,1,10238,7000,0,0,0,1,Station Wagon/Sport Utility Vehicle,40.71976,-73.94476,"(40.71976, -73.94476)",BROOKLYN QUEENS EXPRESSWAY,,,2,0,0,0,0,0,2,0,Tire Failure/Inadequate,,,1
134351,65+,male,20-29y,upper class,0.530625737,0,after 2015,0,1,92101,14000,3,0,0,0,Sedan,40.678677,-73.8928,"(40.678677, -73.8928)",,,112       MILLER AVENUE,0,0,0,0,0,0,0,0,Passing Too Closely,,,1
670374,65+,male,0-9y,upper class,0.425591954,1,after 2015,1,1,32765,10000,0,0,0,1,Sedan,40.828236,-73.88602,"(40.828236, -73.88602)",WHITLOCK AVENUE,FREEMAN STREET,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,,,1
247819,16-25,male,0-9y,poverty,0.310687776,0,after 2015,0,0,10238,13000,0,0,0,0,Sedan,,,,ROCKAWAY BOULEVARD,BROOKVILLE BOULEVARD,,0,0,0,0,0,0,0,0,Unsafe Speed,,,1
72351,65+,male,30y+,upper class,0.667830379,1,after 2015,1,1,32765,6000,11,0,3,0,Sedan,40.865448,-73.86635,"(40.865448, -73.86635)",ALLERTON AVENUE,CRUGER AVENUE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,1
140258,40-64,male,0-9y,upper class,0.578255202,1,before 2015,1,1,10238,11000,0,0,0,1,Bus,40.696983,-73.935234,"(40.696983, -73.935234)",BROADWAY,,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,1
60609,26-39,male,10-19y,upper class,0.606820792,1,before 2015,1,1,32765,,5,0,0,1,Bus,40.80684,-73.9275,"(40.80684, -73.9275)",BRUCKNER BOULEVARD,ALEXANDER AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,1
163684,40-64,male,20-29y,middle class,0.596214615,1,before 2015,1,1,10238,14000,0,0,0,0,Sedan,40.73687,-73.928505,"(40.73687, -73.928505)",HUNTERS POINT AVENUE,39 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,1
454863,40-64,male,20-29y,upper class,0.649779352,0,after 2015,1,1,32765,9000,1,1,2,0,Van,40.809605,-73.94981,"(40.809605, -73.94981)",,,253       WEST 125 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,1
533249,40-64,female,10-19y,middle class,0.510162203,1,after 2015,1,0,32765,7000,0,0,1,0,Station Wagon/Sport Utility Vehicle,40.840637,-73.86624,"(40.840637, -73.86624)",,,1841      EAST TREMONT AVENUE,3,0,0,0,0,0,3,0,Other Vehicular,,,1
874998,65+,male,10-19y,upper class,0.643670853,1,after 2015,1,1,10238,,1,1,1,0,Station Wagon/Sport Utility Vehicle,40.697193,-73.72752,"(40.697193, -73.72752)",CROSS ISLAND PARKWAY,115 AVENUE,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,,,1
666386,40-64,male,20-29y,upper class,0.640503464,1,after 2015,1,1,10238,,4,0,1,0,Pick-up Truck,,,,DOUGLASTON PARKWAY,HORACE HARDING EXPRESSWAY,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,,,1
403182,26-39,male,10-19y,middle class,0.490529998,1,before 2015,0,0,10238,12000,3,0,2,0,Box Truck,,,,6 AVENUE,UNION STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,,,1
650235,26-39,female,10-19y,middle class,0.54285234,1,after 2015,0,1,10238,12000,1,0,2,0,Sedan,40.730457,-73.99366,"(40.730457, -73.99366)",,,300       MERCER STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,1
596282,40-64,female,20-29y,upper class,0.699425311,1,before 2015,1,1,10238,11000,2,0,2,0,Sedan,40.65295,-73.84703,"(40.65295, -73.84703)",84 STREET,162 AVENUE,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,,,1
558054,65+,female,30y+,upper class,0.750603332,1,before 2015,1,1,10238,10000,3,1,4,0,Station Wagon/Sport Utility Vehicle,40.618332,-74.093956,"(40.618332, -74.093956)",,,580       HOWARD AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,1
412162,26-39,female,10-19y,working class,0.407707628,0,before 2015,1,1,10238,,0,0,0,0,Sedan,,,,32 PLACE,48 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,1
538163,65+,male,0-9y,middle class,0.40968117,1,before 2015,1,1,10238,9000,0,0,0,1,Sedan,40.704845,-73.892136,"(40.704845, -73.892136)",65 STREET,CATALPA AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,1
991473,40-64,female,10-19y,upper class,,0,after 2015,0,1,10238,14000,0,0,0,0,Station Wagon/Sport Utility Vehicle,40.638733,-73.98468,"(40.638733, -73.98468)",14 AVENUE,40 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,1
26402,26-39,female,10-19y,poverty,0.513140257,0,before 2015,0,1,10238,11000,2,0,1,0,Station Wagon/Sport Utility Vehicle,40.637054,-73.98643,"(40.637054, -73.98643)",14 AVENUE,43 STREET,,1,0,1,0,0,0,0,0,Unspecified,,,1
157813,16-25,female,0-9y,poverty,0.457857965,1,before 2015,0,0,10238,14000,0,0,0,0,Station Wagon/Sport Utility Vehicle,40.653324,-73.8867,"(40.653324, -73.8867)",,,1115      PENNSYLVANIA AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,1
487293,40-64,male,20-29y,middle class,0.533711419,1,before 2015,1,1,10238,8000,2,0,3,0,Sedan,40.6557,-73.911095,"(40.6557, -73.911095)",HEGEMAN AVENUE,AMBOY STREET,,1,0,1,0,0,0,0,0,Unspecified,,,1
332683,16-25,female,0-9y,middle class,,1,before 2015,0,1,10238,10000,0,0,0,0,Bike,40.65477,-74.00708,"(40.65477, -74.00708)",GOWANUS EXPY (BQE),,,1,0,0,0,0,0,1,0,Unspecified,,,1
552861,65+,male,30y+,middle class,0.344829979,1,before 2015,0,1,32765,,6,1,2,0,SCHOOL BUS,40.72766,-74.00316,"(40.72766, -74.00316)",AVENUE OF THE AMERICAS,KING STREET,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,,,1
718555,16-25,female,0-9y,poverty,0.275986041,0,before 2015,0,1,10238,12000,0,0,0,1,Sedan,40.823112,-73.8679,"(40.823112, -73.8679)",,,902       SOUND VIEW AVENUE,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,1
715348,65+,male,30y+,upper class,0.635954039,1,before 2015,1,1,10238,10000,5,2,3,0,Sedan,,,,EAST 138 STREET,EXTERIOR STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,1
50666,40-64,male,20-29y,upper class,0.502986277,1,after 2015,1,1,10238,8000,6,1,4,0,Motorcycle,40.706722,-74.00679,"(40.706722, -74.00679)",MAIDEN LANE,PEARL STREET,,0,0,0,0,0,0,0,0,Passing Too Closely,,,1
310538,65+,female,20-29y,upper class,0.654793166,1,before 2015,0,1,32765,8000,2,2,3,0,Sedan,40.71307,-73.75362,"(40.71307, -73.75362)",FRANCIS LEWIS BOULEVARD,99 AVENUE,,1,0,0,0,0,0,1,0,Pavement Defective,,,1
423856,40-64,female,0-9y,working class,0.327241792,1,before 2015,1,1,10238,,0,0,0,0,Sedan,40.729748,-73.74162,"(40.729748, -73.74162)",,,221-09    BRADDOCK AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,1
23989,16-25,male,0-9y,poverty,0.3527398,1,before 2015,0,1,10238,12000,0,0,0,1,Station Wagon/Sport Utility Vehicle,40.784355,-73.98117,"(40.784355, -73.98117)",WEST 79 STREET,,,0,0,0,0,0,0,0,0,Backing Unsafely,,,1
455221,26-39,female,10-19y,middle class,0.584040325,0,before 2015,1,1,10238,13000,1,0,2,1,Station Wagon/Sport Utility Vehicle,40.6306,-73.97031,"(40.6306, -73.97031)",FOSTER AVENUE,EAST 7 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,1
878806,16-25,female,0-9y,poverty,0.374004626,1,before 2015,0,0,10238,,0,0,0,0,Sedan,40.741673,-73.895744,"(40.741673, -73.895744)",43 AVENUE,69 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,,,1
90159,16-25,female,0-9y,poverty,,0,before 2015,0,0,10238,19000,0,0,0,1,Sedan,40.61965,-74.09969,"(40.61965, -74.09969)",HIGHLAND AVENUE,VICTORY BOULEVARD,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,,,1
698383,40-64,male,0-9y,upper class,0.535847548,0,after 2015,1,0,10238,8000,0,0,0,1,Bike,40.769184,-73.89639,"(40.769184, -73.89639)",,,21-54     73 STREET,0,0,0,0,0,0,0,0,Unspecified,,,1
432502,16-25,male,0-9y,working class,0.501506352,0,before 2015,0,0,10238,13000,0,0,0,1,Sedan,40.685158,-73.9273,"(40.685158, -73.9273)",,,699       HANCOCK STREET,1,0,0,0,1,0,0,0,Passenger Distraction,,,1
